"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
20 Jun 2020 00:00:00.000,20 Jun 2020 00:59:07.577,3547.577
20 Jun 2020 01:23:07.779,20 Jun 2020 02:31:50.805,4123.026
20 Jun 2020 02:55:36.379,20 Jun 2020 04:04:34.312,4137.933
20 Jun 2020 04:28:04.882,20 Jun 2020 05:37:18.111,4153.229
20 Jun 2020 06:00:33.284,20 Jun 2020 07:10:02.213,4168.928
20 Jun 2020 07:33:01.579,20 Jun 2020 08:42:46.626,4185.047
20 Jun 2020 09:05:29.761,20 Jun 2020 10:15:31.365,4201.604
20 Jun 2020 10:37:57.824,20 Jun 2020 11:48:16.441,4218.618
20 Jun 2020 12:10:25.759,20 Jun 2020 13:21:01.868,4236.109
20 Jun 2020 13:42:53.561,20 Jun 2020 14:53:47.661,4254.100
20 Jun 2020 15:15:21.220,20 Jun 2020 16:26:33.835,4272.615
20 Jun 2020 16:47:48.727,20 Jun 2020 17:59:20.407,4291.680
20 Jun 2020 18:20:16.075,20 Jun 2020 19:32:07.397,4311.322
20 Jun 2020 19:52:43.247,20 Jun 2020 21:04:54.819,4331.572
20 Jun 2020 21:25:10.231,20 Jun 2020 22:37:42.697,4352.466
20 Jun 2020 22:57:37.014,21 Jun 2020 00:10:31.051,4374.037
21 Jun 2020 00:30:03.589,21 Jun 2020 01:43:19.912,4396.323
21 Jun 2020 02:02:29.927,21 Jun 2020 03:16:09.298,4419.371
21 Jun 2020 03:34:56.014,21 Jun 2020 03:57:45.680,1369.666
21 Jun 2020 04:06:40.752,21 Jun 2020 04:48:59.247,2538.495
21 Jun 2020 05:07:21.827,21 Jun 2020 05:25:48.123,1106.296
21 Jun 2020 05:39:30.917,21 Jun 2020 06:21:49.788,2538.871
21 Jun 2020 06:39:47.342,21 Jun 2020 07:50:21.471,4234.129
21 Jun 2020 08:12:12.531,21 Jun 2020 09:24:17.753,4325.223
21 Jun 2020 09:44:37.355,21 Jun 2020 11:00:25.361,4548.006
21 Jun 2020 11:17:01.787,21 Jun 2020 12:33:18.690,4576.902
21 Jun 2020 12:49:25.779,21 Jun 2020 14:06:12.849,4607.070
21 Jun 2020 14:21:49.277,21 Jun 2020 15:39:07.915,4638.638
21 Jun 2020 15:54:12.221,21 Jun 2020 17:12:03.964,4671.744
21 Jun 2020 17:26:34.535,21 Jun 2020 18:45:01.107,4706.572
21 Jun 2020 18:58:56.130,21 Jun 2020 20:17:59.463,4743.333
21 Jun 2020 20:31:16.890,21 Jun 2020 21:50:59.188,4782.298
21 Jun 2020 22:03:36.669,21 Jun 2020 23:24:00.482,4823.813
21 Jun 2020 23:35:55.281,22 Jun 2020 00:57:03.606,4868.325
22 Jun 2020 01:08:12.475,22 Jun 2020 02:30:08.924,4916.449
22 Jun 2020 02:40:27.900,22 Jun 2020 04:03:16.951,4969.051
22 Jun 2020 04:12:41.045,22 Jun 2020 05:36:28.509,5027.465
22 Jun 2020 05:44:51.110,22 Jun 2020 07:09:44.997,5093.887
22 Jun 2020 07:16:56.713,22 Jun 2020 08:43:09.260,5172.547
22 Jun 2020 08:48:55.002,22 Jun 2020 10:16:49.510,5274.507
22 Jun 2020 10:20:37.798,27 Jun 2020 12:28:20.493,439662.696
27 Jun 2020 12:30:33.621,27 Jun 2020 13:59:42.461,5348.839
27 Jun 2020 14:04:34.973,27 Jun 2020 15:31:34.656,5219.683
27 Jun 2020 15:38:05.602,27 Jun 2020 17:03:37.036,5131.434
27 Jun 2020 17:11:25.561,27 Jun 2020 18:35:45.045,5059.484
27 Jun 2020 18:44:39.423,27 Jun 2020 20:07:56.736,4997.314
27 Jun 2020 20:17:49.151,27 Jun 2020 21:40:11.066,4941.915
27 Jun 2020 21:50:55.793,27 Jun 2020 23:12:27.399,4891.606
27 Jun 2020 23:24:00.005,28 Jun 2020 00:00:00.000,2159.995

"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
20 Jun 2020 00:59:07.577,20 Jun 2020 00:59:28.700,21.123
20 Jun 2020 01:22:46.309,20 Jun 2020 01:23:07.779,21.471
20 Jun 2020 02:31:50.805,20 Jun 2020 02:32:12.290,21.484
20 Jun 2020 02:55:14.537,20 Jun 2020 02:55:36.379,21.842
20 Jun 2020 04:04:34.312,20 Jun 2020 04:04:56.176,21.864
20 Jun 2020 04:27:42.652,20 Jun 2020 04:28:04.882,22.230
20 Jun 2020 05:37:18.111,20 Jun 2020 05:37:40.370,22.259
20 Jun 2020 06:00:10.648,20 Jun 2020 06:00:33.284,22.636
20 Jun 2020 07:10:02.213,20 Jun 2020 07:10:24.884,22.671
20 Jun 2020 07:32:38.519,20 Jun 2020 07:33:01.579,23.060
20 Jun 2020 08:42:46.626,20 Jun 2020 08:43:09.730,23.104
20 Jun 2020 09:05:06.257,20 Jun 2020 09:05:29.761,23.504
20 Jun 2020 10:15:31.365,20 Jun 2020 10:15:54.923,23.558
20 Jun 2020 10:37:33.853,20 Jun 2020 10:37:57.824,23.970
20 Jun 2020 11:48:16.441,20 Jun 2020 11:48:40.476,24.035
20 Jun 2020 12:10:01.303,20 Jun 2020 12:10:25.759,24.457
20 Jun 2020 13:21:01.868,20 Jun 2020 13:21:26.406,24.537
20 Jun 2020 13:42:28.588,20 Jun 2020 13:42:53.561,24.973
20 Jun 2020 14:53:47.661,20 Jun 2020 14:54:12.728,25.067
20 Jun 2020 15:14:55.704,20 Jun 2020 15:15:21.220,25.516
20 Jun 2020 16:26:33.835,20 Jun 2020 16:26:59.465,25.629
20 Jun 2020 16:47:22.640,20 Jun 2020 16:47:48.727,26.087
20 Jun 2020 17:59:20.407,20 Jun 2020 17:59:46.629,26.222
20 Jun 2020 18:19:49.378,20 Jun 2020 18:20:16.075,26.698
20 Jun 2020 19:32:07.397,20 Jun 2020 19:32:34.245,26.848
20 Jun 2020 19:52:15.905,20 Jun 2020 19:52:43.247,27.341
20 Jun 2020 21:04:54.819,20 Jun 2020 21:05:22.336,27.517
20 Jun 2020 21:24:42.207,20 Jun 2020 21:25:10.231,28.024
20 Jun 2020 22:37:42.697,20 Jun 2020 22:38:10.926,28.229
20 Jun 2020 22:57:08.260,20 Jun 2020 22:57:37.014,28.754
21 Jun 2020 00:10:31.051,21 Jun 2020 00:11:00.044,28.994
21 Jun 2020 00:29:34.053,21 Jun 2020 00:30:03.589,29.536
