"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
11 Aug 2019 00:00:00.000,11 Aug 2019 00:25:13.253,1513.253
11 Aug 2019 01:01:17.805,11 Aug 2019 01:57:46.466,3388.660
11 Aug 2019 02:33:51.171,11 Aug 2019 03:30:19.676,3388.505
11 Aug 2019 04:06:24.521,11 Aug 2019 05:02:52.883,3388.362
11 Aug 2019 05:38:57.857,11 Aug 2019 06:35:26.089,3388.232
11 Aug 2019 07:11:31.176,11 Aug 2019 08:07:59.292,3388.115
11 Aug 2019 08:44:04.481,11 Aug 2019 09:40:32.493,3388.012
11 Aug 2019 10:16:37.770,11 Aug 2019 11:13:05.693,3387.923
11 Aug 2019 11:49:11.045,11 Aug 2019 12:45:38.891,3387.846
11 Aug 2019 13:21:44.305,11 Aug 2019 14:18:12.087,3387.782
11 Aug 2019 14:54:17.551,11 Aug 2019 15:50:45.283,3387.732
11 Aug 2019 16:26:50.782,11 Aug 2019 17:23:18.478,3387.695
11 Aug 2019 17:59:23.999,11 Aug 2019 18:55:51.672,3387.672
11 Aug 2019 19:31:57.202,11 Aug 2019 20:28:24.865,3387.663
11 Aug 2019 21:04:30.391,11 Aug 2019 22:00:58.059,3387.667
11 Aug 2019 22:37:03.566,11 Aug 2019 23:33:31.252,3387.686

"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
11 Aug 2019 00:25:13.253,11 Aug 2019 00:25:21.416,8.163
11 Aug 2019 01:01:09.709,11 Aug 2019 01:01:17.805,8.096
11 Aug 2019 01:57:46.466,11 Aug 2019 01:57:54.626,8.160
11 Aug 2019 02:33:43.078,11 Aug 2019 02:33:51.171,8.093
11 Aug 2019 03:30:19.676,11 Aug 2019 03:30:27.833,8.157
11 Aug 2019 04:06:16.430,11 Aug 2019 04:06:24.521,8.091
11 Aug 2019 05:02:52.883,11 Aug 2019 05:03:01.038,8.155
11 Aug 2019 05:38:49.767,11 Aug 2019 05:38:57.857,8.090
11 Aug 2019 06:35:26.089,11 Aug 2019 06:35:34.241,8.152
11 Aug 2019 07:11:23.089,11 Aug 2019 07:11:31.176,8.088
11 Aug 2019 08:07:59.292,11 Aug 2019 08:08:07.442,8.150
11 Aug 2019 08:43:56.395,11 Aug 2019 08:44:04.481,8.086
11 Aug 2019 09:40:32.493,11 Aug 2019 09:40:40.641,8.148
11 Aug 2019 10:16:29.686,11 Aug 2019 10:16:37.770,8.084
11 Aug 2019 11:13:05.693,11 Aug 2019 11:13:13.838,8.146
11 Aug 2019 11:49:02.963,11 Aug 2019 11:49:11.045,8.082
11 Aug 2019 12:45:38.891,11 Aug 2019 12:45:47.035,8.144
11 Aug 2019 13:21:36.224,11 Aug 2019 13:21:44.305,8.081
11 Aug 2019 14:18:12.087,11 Aug 2019 14:18:20.230,8.143
11 Aug 2019 14:54:09.470,11 Aug 2019 14:54:17.551,8.081
11 Aug 2019 15:50:45.283,11 Aug 2019 15:50:53.424,8.141
11 Aug 2019 16:26:42.702,11 Aug 2019 16:26:50.782,8.080
11 Aug 2019 17:23:18.478,11 Aug 2019 17:23:26.618,8.140
11 Aug 2019 17:59:15.920,11 Aug 2019 17:59:23.999,8.080
11 Aug 2019 18:55:51.672,11 Aug 2019 18:55:59.811,8.139
11 Aug 2019 19:31:49.123,11 Aug 2019 19:31:57.202,8.080
11 Aug 2019 20:28:24.865,11 Aug 2019 20:28:33.004,8.138
11 Aug 2019 21:04:22.312,11 Aug 2019 21:04:30.391,8.080
11 Aug 2019 22:00:58.059,11 Aug 2019 22:01:06.197,8.138
11 Aug 2019 22:36:55.486,11 Aug 2019 22:37:03.566,8.080
11 Aug 2019 23:33:31.252,11 Aug 2019 23:33:39.389,8.138

"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
11 Aug 2019 00:25:21.416,11 Aug 2019 01:01:09.709,2148.293
11 Aug 2019 01:57:54.626,11 Aug 2019 02:33:43.078,2148.452
11 Aug 2019 03:30:27.833,11 Aug 2019 04:06:16.430,2148.597
11 Aug 2019 05:03:01.038,11 Aug 2019 05:38:49.767,2148.729
11 Aug 2019 06:35:34.241,11 Aug 2019 07:11:23.089,2148.848
11 Aug 2019 08:08:07.442,11 Aug 2019 08:43:56.395,2148.954
11 Aug 2019 09:40:40.641,11 Aug 2019 10:16:29.686,2149.046
11 Aug 2019 11:13:13.838,11 Aug 2019 11:49:02.963,2149.124
11 Aug 2019 12:45:47.035,11 Aug 2019 13:21:36.224,2149.189
11 Aug 2019 14:18:20.230,11 Aug 2019 14:54:09.470,2149.240
11 Aug 2019 15:50:53.424,11 Aug 2019 16:26:42.702,2149.278
11 Aug 2019 17:23:26.618,11 Aug 2019 17:59:15.920,2149.302
11 Aug 2019 18:55:59.811,11 Aug 2019 19:31:49.123,2149.312
11 Aug 2019 20:28:33.004,11 Aug 2019 21:04:22.312,2149.308
11 Aug 2019 22:01:06.197,11 Aug 2019 22:36:55.486,2149.290
11 Aug 2019 23:33:39.389,12 Aug 2019 00:00:00.000,1580.611

