"Time (UTCG)","Power (W)","Solar Intensity"
19 Aug 2019 00:00:00.000,0.000,0.000000
19 Aug 2019 00:00:05.000,0.000,0.000000
19 Aug 2019 00:00:10.000,0.000,0.000000
19 Aug 2019 00:00:15.000,0.000,0.000000
19 Aug 2019 00:00:20.000,0.000,0.000000
19 Aug 2019 00:00:25.000,0.000,0.000000
19 Aug 2019 00:00:30.000,0.000,0.000000
19 Aug 2019 00:00:35.000,0.000,0.000000
19 Aug 2019 00:00:40.000,0.000,0.000000
19 Aug 2019 00:00:45.000,0.000,0.000000
19 Aug 2019 00:00:50.000,0.000,0.000000
19 Aug 2019 00:00:55.000,0.000,0.000000
19 Aug 2019 00:01:00.000,0.000,0.000000
19 Aug 2019 00:01:05.000,0.000,0.000000
19 Aug 2019 00:01:10.000,0.000,0.000000
19 Aug 2019 00:01:15.000,0.000,0.000000
19 Aug 2019 00:01:20.000,0.000,0.000000
19 Aug 2019 00:01:25.000,0.000,0.000000
19 Aug 2019 00:01:30.000,0.000,0.000000
19 Aug 2019 00:01:35.000,0.000,0.000000
19 Aug 2019 00:01:40.000,0.000,0.000000
19 Aug 2019 00:01:45.000,0.000,0.000000
19 Aug 2019 00:01:50.000,0.000,0.000000
19 Aug 2019 00:01:55.000,0.000,0.000000
19 Aug 2019 00:02:00.000,0.000,0.000000
19 Aug 2019 00:02:05.000,0.000,0.000000
19 Aug 2019 00:02:10.000,0.000,0.000000
19 Aug 2019 00:02:15.000,0.000,0.000000
19 Aug 2019 00:02:20.000,0.000,0.000000
19 Aug 2019 00:02:25.000,0.000,0.000000
19 Aug 2019 00:02:30.000,0.000,0.000000
19 Aug 2019 00:02:35.000,0.000,0.000000
19 Aug 2019 00:02:40.000,0.000,0.000000
19 Aug 2019 00:02:45.000,0.000,0.000000
19 Aug 2019 00:02:50.000,0.000,0.000000
19 Aug 2019 00:02:55.000,0.000,0.000000
19 Aug 2019 00:03:00.000,0.000,0.000000
19 Aug 2019 00:03:05.000,0.000,0.000000
19 Aug 2019 00:03:10.000,0.000,0.000000
19 Aug 2019 00:03:15.000,0.000,0.000000
19 Aug 2019 00:03:20.000,0.000,0.000000
19 Aug 2019 00:03:25.000,0.000,0.000000
19 Aug 2019 00:03:30.000,0.000,0.000000
19 Aug 2019 00:03:35.000,0.000,0.000000
19 Aug 2019 00:03:40.000,0.000,0.000000
19 Aug 2019 00:03:45.000,0.000,0.000000
19 Aug 2019 00:03:50.000,0.000,0.000000
19 Aug 2019 00:03:55.000,0.000,0.000000
19 Aug 2019 00:04:00.000,0.000,0.000000
19 Aug 2019 00:04:05.000,0.000,0.000000
19 Aug 2019 00:04:10.000,0.000,0.000000
19 Aug 2019 00:04:15.000,0.000,0.000000
19 Aug 2019 00:04:20.000,0.000,0.000000
19 Aug 2019 00:04:25.000,0.000,0.000000
19 Aug 2019 00:04:30.000,0.000,0.000000
19 Aug 2019 00:04:35.000,0.000,0.000000
19 Aug 2019 00:04:40.000,0.000,0.000000
19 Aug 2019 00:04:45.000,0.000,0.000000
19 Aug 2019 00:04:50.000,0.000,0.000000
19 Aug 2019 00:04:55.000,0.000,0.000000
19 Aug 2019 00:05:00.000,0.000,0.000000
19 Aug 2019 00:05:05.000,0.000,0.000000
19 Aug 2019 00:05:10.000,0.000,0.000000
19 Aug 2019 00:05:15.000,0.000,0.000000
19 Aug 2019 00:05:20.000,0.000,0.000000
19 Aug 2019 00:05:25.000,0.000,0.000000
19 Aug 2019 00:05:30.000,0.000,0.000000
19 Aug 2019 00:05:35.000,0.000,0.000000
19 Aug 2019 00:05:40.000,0.000,0.000000
19 Aug 2019 00:05:45.000,0.000,0.000000
19 Aug 2019 00:05:50.000,0.000,0.000000
19 Aug 2019 00:05:55.000,0.000,0.000000
19 Aug 2019 00:06:00.000,0.000,0.000000
19 Aug 2019 00:06:05.000,0.000,0.000000
19 Aug 2019 00:06:10.000,0.000,0.000000
19 Aug 2019 00:06:15.000,0.000,0.000000
19 Aug 2019 00:06:20.000,0.000,0.000000
19 Aug 2019 00:06:25.000,0.000,0.000000
19 Aug 2019 00:06:30.000,0.000,0.000000
19 Aug 2019 00:06:35.000,0.000,0.000000
19 Aug 2019 00:06:40.000,0.000,0.000000
19 Aug 2019 00:06:45.000,0.000,0.000000
19 Aug 2019 00:06:50.000,0.000,0.000000
19 Aug 2019 00:06:55.000,0.000,0.000000
19 Aug 2019 00:07:00.000,0.000,0.000000
19 Aug 2019 00:07:05.000,0.000,0.000000
19 Aug 2019 00:07:10.000,0.000,0.000000
19 Aug 2019 00:07:15.000,0.000,0.000000
19 Aug 2019 00:07:20.000,0.000,0.000000
19 Aug 2019 00:07:25.000,0.000,0.000000
19 Aug 2019 00:07:30.000,0.000,0.000000
19 Aug 2019 00:07:35.000,0.000,0.000000
19 Aug 2019 00:07:40.000,0.000,0.000000
19 Aug 2019 00:07:45.000,0.000,0.000000
19 Aug 2019 00:07:50.000,0.000,0.000000
19 Aug 2019 00:07:55.000,0.000,0.000000
19 Aug 2019 00:08:00.000,0.000,0.000000
19 Aug 2019 00:08:05.000,0.000,0.000000
19 Aug 2019 00:08:10.000,0.000,0.000000
19 Aug 2019 00:08:15.000,0.000,0.000000
19 Aug 2019 00:08:20.000,0.000,0.000000
19 Aug 2019 00:08:25.000,0.000,0.000000
19 Aug 2019 00:08:30.000,0.000,0.000000
19 Aug 2019 00:08:35.000,0.000,0.000000
19 Aug 2019 00:08:40.000,0.000,0.000000
19 Aug 2019 00:08:45.000,0.000,0.000000
19 Aug 2019 00:08:50.000,0.000,0.000000
19 Aug 2019 00:08:55.000,0.000,0.000000
19 Aug 2019 00:09:00.000,0.000,0.000000
19 Aug 2019 00:09:05.000,0.000,0.000000
19 Aug 2019 00:09:10.000,0.000,0.000000
19 Aug 2019 00:09:15.000,0.000,0.000000
19 Aug 2019 00:09:20.000,0.000,0.000000
19 Aug 2019 00:09:25.000,0.000,0.000000
19 Aug 2019 00:09:30.000,0.000,0.000000
19 Aug 2019 00:09:35.000,0.000,0.000000
19 Aug 2019 00:09:40.000,0.000,0.000000
19 Aug 2019 00:09:45.000,0.000,0.000000
19 Aug 2019 00:09:50.000,0.000,0.000000
19 Aug 2019 00:09:55.000,0.000,0.000000
19 Aug 2019 00:10:00.000,0.000,0.000000
19 Aug 2019 00:10:05.000,0.000,0.000000
19 Aug 2019 00:10:10.000,0.000,0.000000
19 Aug 2019 00:10:15.000,0.000,0.000000
19 Aug 2019 00:10:20.000,0.000,0.000000
19 Aug 2019 00:10:25.000,0.000,0.000000
19 Aug 2019 00:10:30.000,0.000,0.000000
19 Aug 2019 00:10:35.000,0.000,0.000000
19 Aug 2019 00:10:40.000,0.000,0.000000
19 Aug 2019 00:10:45.000,0.000,0.000000
19 Aug 2019 00:10:50.000,0.000,0.000000
19 Aug 2019 00:10:55.000,0.000,0.000000
19 Aug 2019 00:11:00.000,0.000,0.000000
19 Aug 2019 00:11:05.000,0.000,0.000000
19 Aug 2019 00:11:10.000,0.000,0.000000
19 Aug 2019 00:11:15.000,0.000,0.000000
19 Aug 2019 00:11:20.000,0.000,0.000000
19 Aug 2019 00:11:25.000,0.000,0.000000
19 Aug 2019 00:11:30.000,0.000,0.000000
19 Aug 2019 00:11:35.000,0.000,0.000000
19 Aug 2019 00:11:40.000,0.000,0.000000
19 Aug 2019 00:11:45.000,0.000,0.000000
19 Aug 2019 00:11:50.000,0.000,0.000000
19 Aug 2019 00:11:55.000,0.000,0.000000
19 Aug 2019 00:12:00.000,0.000,0.000000
19 Aug 2019 00:12:05.000,0.000,0.000000
19 Aug 2019 00:12:10.000,0.000,0.000000
19 Aug 2019 00:12:15.000,0.000,0.000000
19 Aug 2019 00:12:20.000,0.000,0.000000
19 Aug 2019 00:12:25.000,0.000,0.000000
19 Aug 2019 00:12:30.000,0.000,0.000000
19 Aug 2019 00:12:35.000,0.000,0.000000
19 Aug 2019 00:12:40.000,0.000,0.000000
19 Aug 2019 00:12:45.000,0.000,0.000000
19 Aug 2019 00:12:50.000,0.000,0.000000
19 Aug 2019 00:12:55.000,0.000,0.000000
19 Aug 2019 00:13:00.000,0.000,0.000000
19 Aug 2019 00:13:05.000,0.000,0.000000
19 Aug 2019 00:13:10.000,0.000,0.000000
19 Aug 2019 00:13:15.000,0.000,0.000000
19 Aug 2019 00:13:20.000,0.000,0.000000
19 Aug 2019 00:13:25.000,0.000,0.000000
19 Aug 2019 00:13:30.000,0.000,0.000000
19 Aug 2019 00:13:35.000,0.000,0.000000
19 Aug 2019 00:13:40.000,0.000,0.000000
19 Aug 2019 00:13:45.000,0.000,0.000000
19 Aug 2019 00:13:50.000,0.000,0.000000
19 Aug 2019 00:13:55.000,0.000,0.000000
19 Aug 2019 00:14:00.000,0.000,0.000000
19 Aug 2019 00:14:05.000,0.000,0.000000
19 Aug 2019 00:14:10.000,0.000,0.000000
19 Aug 2019 00:14:15.000,0.000,0.000000
19 Aug 2019 00:14:20.000,0.000,0.000000
19 Aug 2019 00:14:25.000,0.000,0.000000
19 Aug 2019 00:14:30.000,0.000,0.000000
19 Aug 2019 00:14:35.000,0.000,0.000000
19 Aug 2019 00:14:40.000,0.000,0.000000
19 Aug 2019 00:14:45.000,0.000,0.000000
19 Aug 2019 00:14:50.000,0.000,0.000000
19 Aug 2019 00:14:55.000,0.000,0.000000
