"Time (UTCG)","Power (W)","Solar Intensity"
25 Jun 2020 11:00:00.000,3.229,1.000000
25 Jun 2020 11:00:05.000,3.222,1.000000
25 Jun 2020 11:00:10.000,3.217,1.000000
25 Jun 2020 11:00:15.000,3.190,1.000000
25 Jun 2020 11:00:20.000,3.173,1.000000
25 Jun 2020 11:00:25.000,3.189,1.000000
25 Jun 2020 11:00:30.000,3.206,1.000000
25 Jun 2020 11:00:35.000,3.209,1.000000
25 Jun 2020 11:00:40.000,3.203,1.000000
25 Jun 2020 11:00:45.000,3.226,1.000000
25 Jun 2020 11:00:50.000,3.232,1.000000
25 Jun 2020 11:00:55.000,3.231,1.000000
25 Jun 2020 11:01:00.000,3.239,1.000000
25 Jun 2020 11:01:05.000,3.248,1.000000
25 Jun 2020 11:01:10.000,3.254,1.000000
25 Jun 2020 11:01:15.000,3.259,1.000000
25 Jun 2020 11:01:20.000,3.268,1.000000
25 Jun 2020 11:01:25.000,3.269,1.000000
25 Jun 2020 11:01:30.000,3.277,1.000000
25 Jun 2020 11:01:35.000,3.283,1.000000
25 Jun 2020 11:01:40.000,3.287,1.000000
25 Jun 2020 11:01:45.000,3.306,1.000000
25 Jun 2020 11:01:50.000,3.312,1.000000
25 Jun 2020 11:01:55.000,3.313,1.000000
25 Jun 2020 11:02:00.000,3.323,1.000000
25 Jun 2020 11:02:05.000,3.329,1.000000
25 Jun 2020 11:02:10.000,3.339,1.000000
25 Jun 2020 11:02:15.000,3.347,1.000000
25 Jun 2020 11:02:20.000,3.363,1.000000
25 Jun 2020 11:02:25.000,3.354,1.000000
25 Jun 2020 11:02:30.000,3.361,1.000000
25 Jun 2020 11:02:35.000,3.364,1.000000
25 Jun 2020 11:02:40.000,3.366,1.000000
25 Jun 2020 11:02:45.000,3.380,1.000000
25 Jun 2020 11:02:50.000,3.399,1.000000
25 Jun 2020 11:02:55.000,3.405,1.000000
25 Jun 2020 11:03:00.000,3.406,1.000000
25 Jun 2020 11:03:05.000,3.407,1.000000
25 Jun 2020 11:03:10.000,3.425,1.000000
25 Jun 2020 11:03:15.000,3.438,1.000000
25 Jun 2020 11:03:20.000,3.442,1.000000
25 Jun 2020 11:03:25.000,3.447,1.000000
25 Jun 2020 11:03:30.000,3.460,1.000000
25 Jun 2020 11:03:35.000,3.460,1.000000
25 Jun 2020 11:03:40.000,3.476,1.000000
25 Jun 2020 11:03:45.000,3.486,1.000000
25 Jun 2020 11:03:50.000,3.499,1.000000
25 Jun 2020 11:03:55.000,3.508,1.000000
25 Jun 2020 11:04:00.000,3.519,1.000000
25 Jun 2020 11:04:05.000,3.531,1.000000
25 Jun 2020 11:04:10.000,3.538,1.000000
25 Jun 2020 11:04:15.000,3.561,1.000000
25 Jun 2020 11:04:20.000,3.553,1.000000
25 Jun 2020 11:04:25.000,3.573,1.000000
25 Jun 2020 11:04:30.000,3.587,1.000000
25 Jun 2020 11:04:35.000,3.586,1.000000
25 Jun 2020 11:04:40.000,3.614,1.000000
