Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec),,
1,6 Aug 2019 16:23:39.694,6 Aug 2019 16:34:18.931,639.238,,Average access time
2,6 Aug 2019 18:00:10.258,6 Aug 2019 18:10:11.706,601.448,,570.165677327935
3,7 Aug 2019 09:05:25.177,7 Aug 2019 09:12:14.902,409.725,,
4,7 Aug 2019 10:39:12.044,7 Aug 2019 10:49:45.302,633.258,,
5,7 Aug 2019 12:15:42.303,7 Aug 2019 12:26:09.521,627.218,,
6,7 Aug 2019 13:52:58.749,7 Aug 2019 14:02:56.912,598.164,,
7,7 Aug 2019 15:29:45.487,7 Aug 2019 15:40:13.367,627.88,,
8,7 Aug 2019 17:06:09.790,7 Aug 2019 17:16:42.094,632.305,,
9,7 Aug 2019 18:43:43.134,7 Aug 2019 18:50:24.411,401.276,,
10,8 Aug 2019 08:14:39.015,8 Aug 2019 08:16:01.558,82.543,,
11,8 Aug 2019 09:45:41.525,8 Aug 2019 09:55:45.275,603.751,,
12,8 Aug 2019 11:21:36.455,8 Aug 2019 11:32:15.178,638.723,,
13,8 Aug 2019 12:58:48.948,8 Aug 2019 13:08:50.551,601.604,,
14,8 Aug 2019 14:35:48.687,8 Aug 2019 14:46:03.065,614.378,,
15,8 Aug 2019 16:12:14.418,8 Aug 2019 16:22:57.556,643.138,,
16,8 Aug 2019 17:49:06.360,8 Aug 2019 17:57:52.486,526.126,,
17,9 Aug 2019 08:52:30.554,9 Aug 2019 09:01:35.656,545.102,,
18,9 Aug 2019 10:27:38.290,9 Aug 2019 10:38:21.812,643.521,,
19,9 Aug 2019 12:04:37.253,9 Aug 2019 12:14:48.704,611.45,,
20,9 Aug 2019 13:41:47.946,9 Aug 2019 13:51:51.197,603.251,,
21,9 Aug 2019 15:18:20.991,9 Aug 2019 15:29:01.534,640.542,,
22,9 Aug 2019 16:54:53.404,9 Aug 2019 17:04:47.033,593.63,,
23,10 Aug 2019 07:59:48.950,10 Aug 2019 08:07:06.518,437.568,,
24,10 Aug 2019 09:33:50.869,10 Aug 2019 09:44:27.170,636.301,,
25,10 Aug 2019 11:10:26.388,10 Aug 2019 11:20:51.047,624.659,,
26,10 Aug 2019 12:47:42.715,10 Aug 2019 12:57:40.669,597.954,,
27,10 Aug 2019 14:24:27.150,10 Aug 2019 14:34:57.106,629.956,,
28,10 Aug 2019 16:00:51.731,10 Aug 2019 16:11:20.457,628.726,,
29,10 Aug 2019 17:38:36.236,10 Aug 2019 17:44:46.045,369.808,,
30,11 Aug 2019 07:08:17.845,11 Aug 2019 07:11:36.572,198.727,,
31,11 Aug 2019 08:40:17.492,11 Aug 2019 08:50:28.368,610.876,,
32,11 Aug 2019 10:16:19.502,11 Aug 2019 10:26:56.420,636.918,,
33,11 Aug 2019 11:53:33.476,11 Aug 2019 12:03:33.597,600.121,,
34,11 Aug 2019 13:30:30.978,11 Aug 2019 13:40:47.383,616.404,,
35,11 Aug 2019 15:06:55.833,11 Aug 2019 15:17:38.242,642.409,,
36,11 Aug 2019 16:43:52.629,11 Aug 2019 16:52:22.755,510.126,,
37,12 Aug 2019 07:47:02.620,12 Aug 2019 07:56:21.022,558.402,,
38,12 Aug 2019 09:22:19.757,12 Aug 2019 09:33:03.119,643.362,,
39,12 Aug 2019 10:59:21.924,12 Aug 2019 11:09:31.005,609.081,,
40,12 Aug 2019 12:36:31.043,12 Aug 2019 12:46:35.560,604.518,,
41,12 Aug 2019 14:13:02.343,12 Aug 2019 14:23:43.986,641.643,,
42,12 Aug 2019 15:49:36.938,12 Aug 2019 15:59:21.858,584.92,,
