"Time (UTCG)","Power (W)","Solar Intensity"
11 Aug 2019 03:42:00.000,0.000,0.000000
24 Jun 2020 06:00:00.000,4.998,1.000000
24 Jun 2020 06:01:00.000,5.015,1.000000
24 Jun 2020 06:02:00.000,5.025,1.000000
24 Jun 2020 06:03:00.000,5.056,1.000000
24 Jun 2020 06:04:00.000,5.014,1.000000
24 Jun 2020 06:05:00.000,5.027,1.000000
24 Jun 2020 06:06:00.000,5.018,1.000000
24 Jun 2020 06:07:00.000,4.994,1.000000
24 Jun 2020 06:08:00.000,4.983,1.000000
24 Jun 2020 06:09:00.000,4.958,1.000000
24 Jun 2020 06:10:00.000,4.936,1.000000
24 Jun 2020 06:11:00.000,4.906,1.000000
24 Jun 2020 06:12:00.000,4.864,1.000000
24 Jun 2020 06:13:00.000,4.821,1.000000
24 Jun 2020 06:14:00.000,4.780,1.000000
24 Jun 2020 06:15:00.000,4.680,1.000000
24 Jun 2020 06:16:00.000,4.522,1.000000
24 Jun 2020 06:17:00.000,4.333,1.000000
24 Jun 2020 06:18:00.000,4.102,1.000000
24 Jun 2020 06:19:00.000,3.864,1.000000
24 Jun 2020 06:20:00.000,3.605,1.000000
24 Jun 2020 06:21:00.000,3.418,1.000000
24 Jun 2020 06:22:00.000,3.255,1.000000
24 Jun 2020 06:23:00.000,3.121,1.000000
24 Jun 2020 06:24:00.000,3.095,1.000000
24 Jun 2020 06:25:00.000,3.076,1.000000
24 Jun 2020 06:26:00.000,3.070,1.000000
24 Jun 2020 06:27:00.000,3.059,1.000000
24 Jun 2020 06:28:00.000,3.074,1.000000
24 Jun 2020 06:29:00.000,3.100,1.000000
24 Jun 2020 06:30:00.000,3.139,1.000000
24 Jun 2020 06:31:00.000,3.191,1.000000
24 Jun 2020 06:32:00.000,3.244,1.000000
24 Jun 2020 06:33:00.000,3.331,1.000000
24 Jun 2020 06:34:00.000,3.428,1.000000
24 Jun 2020 06:35:00.000,3.551,1.000000
24 Jun 2020 06:36:00.000,3.694,1.000000
24 Jun 2020 06:37:00.000,3.878,1.000000
24 Jun 2020 06:38:00.000,4.098,1.000000
24 Jun 2020 06:39:00.000,4.350,1.000000
24 Jun 2020 06:40:00.000,4.583,1.000000
24 Jun 2020 06:41:00.000,4.772,1.000000
24 Jun 2020 06:42:00.000,4.891,1.000000
24 Jun 2020 06:43:00.000,5.013,1.000000
24 Jun 2020 06:44:00.000,5.059,1.000000
24 Jun 2020 06:45:00.000,5.042,1.000000
24 Jun 2020 06:46:00.000,5.028,1.000000
24 Jun 2020 06:47:00.000,5.024,1.000000
24 Jun 2020 06:48:00.000,5.019,1.000000
24 Jun 2020 06:49:00.000,5.002,1.000000
24 Jun 2020 06:50:00.000,4.979,1.000000
24 Jun 2020 06:51:00.000,4.960,1.000000
24 Jun 2020 06:52:00.000,4.927,1.000000
24 Jun 2020 06:53:00.000,4.904,1.000000
24 Jun 2020 06:54:00.000,4.865,1.000000
24 Jun 2020 06:55:00.000,4.832,1.000000
24 Jun 2020 06:56:00.000,4.789,1.000000
24 Jun 2020 06:57:00.000,4.738,1.000000
24 Jun 2020 06:58:00.000,4.691,1.000000
24 Jun 2020 06:59:00.000,4.642,1.000000
24 Jun 2020 07:00:00.000,4.536,1.000000
24 Jun 2020 07:01:00.000,4.381,1.000000
24 Jun 2020 07:02:00.000,4.043,1.000000
24 Jun 2020 07:03:00.000,3.748,1.000000
24 Jun 2020 07:04:00.000,3.468,1.000000
24 Jun 2020 07:05:00.000,3.179,1.000000
